日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2021/1/5,9:56,地铁,布吉-车公庙,5,1次,微信,乘车码小程序,
2021/1/4,20:39,地铁,车公庙-布吉,5,1次,微信,乘车码小程序,
2021/1/4,12:00,地铁,景田-车公庙,2,1次,微信,乘车码小程序,
2021/1/4,8:44,地铁,布吉-景田,5,1次,微信,乘车码小程序,
2021/1/1,21:59,地铁,白鸽笼-布吉,2,1次,微信,乘车码小程序,
2020/12/31,19:35,地铁,车公庙-布吉,5,1次,微信,乘车码小程序,
2020/12/31,9:42,地铁,布吉-车公庙,5,1次,微信,乘车码小程序,
2020/12/30,20:45,地铁,车公庙-布吉,5,1次,微信,乘车码小程序,
2020/12/30,9:36,地铁,布吉-车公庙,5,1次,微信,乘车码小程序,
2020/12/29,16:55,地铁,车公庙-布吉,5,1次,微信,乘车码小程序,
2020/12/29,9:44,地铁,布吉-车公庙,5,1次,微信,乘车码小程序,
2020/12/28,20:59,地铁,车公庙-布吉,5,1次,微信,乘车码小程序,
2020/12/28,9:33,地铁,布吉-车公庙,5,1次,微信,乘车码小程序,
2020/12/27,18:37,地铁,冬瓜岭-布吉,5,1次,微信,乘车码小程序,
2020/12/27,17:40,地铁,布吉-冬瓜岭,5,1次,微信,乘车码小程序,
2020/12/27,15:56,地铁,上沙-布吉,5,1次,微信,乘车码小程序,
2020/12/27,13:00,地铁,布吉-上沙,5,1次,微信,乘车码小程序,
2020/12/25,22:41,地铁,布吉-上沙,5,1次,微信,乘车码小程序,
2020/12/25,19:53,地铁,上沙-白鸽笼,5,1次,微信,乘车码小程序,
,,,,,,,,
2020/12/29,18:27,,转账给布吉。 申卫甫,200,1次,微信,微信,
2020/12/22,10:57,,转账给阿姐,500,1次,微信-银行卡,微信,
2021/1/4,10:39,体检,体检,170.9,1次,微信,广州中医药大学深圳医院,
2021/1/4,9:07,照相,证件照,20,1次,微信,快照易,
2021/1/1,21:44,饮品,东鹏特饮+果粒多,8.5,1次,微信,便利店,